#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
      66   -7.471  -49.145   44.837  -21.024    9.669   -2.202    6.331   -2.098   -2.177   15.903
      67  -15.474  -46.511   36.588  -24.623    5.821    2.012   -0.225   -3.073   -1.780   13.473
      68  -14.766  -41.636   48.722  -22.098    5.291    2.358   -0.588   -0.810   -5.196   10.655
      69  -17.285  -54.955   49.340  -27.112    3.142    1.040    6.242    2.026   -2.005   10.246
      70   -8.233  -58.474   44.613  -27.054    6.742   10.068   -2.568    0.671   -7.469   12.208
      71  -20.649  -46.262   30.840  -18.422   10.299    7.678   -2.639   -0.182   -1.134   11.006
      72  -20.543  -49.446   43.425  -11.869    9.185   12.251   -1.407    2.479   -4.620    9.772
      73  -42.320  -47.370   32.684  -19.921    8.436   15.774   -4.198    8.677   -3.154    7.172
      74  -32.662  -41.817   39.594  -19.549    2.978    6.124   -6.979   -0.680   -4.056   12.602
      75   -7.043  -46.078   41.297  -14.751    8.741    7.809    0.187   -6.363   -2.916   11.086
      76  -40.144  -33.742   39.734  -16.921    5.879    9.825   -4.529    0.205    0.538    8.435
      77  -19.487  -52.678   40.578  -15.644    5.969   10.498    5.192    8.805   -9.948    8.075
      78  -17.198  -45.390   43.657  -14.396   12.956   15.943   -0.182    3.970  -10.550    6.825
      79  -21.654  -37.827   41.117  -18.506    7.877   12.655   -6.990   -0.615   -8.191    4.559
      80  -21.830  -49.333   43.325  -22.112    4.866    8.171   -0.453    2.218   -6.486    8.489
      81   -8.568  -55.951   42.121  -21.741    8.979    6.613   -1.824    4.117   -0.912   11.457
      82  -14.256  -58.836   40.470  -24.280    5.760   10.557   -5.564    4.399   -1.882   13.338
      83  -17.655  -49.291   36.204  -10.035    5.242   -0.319    1.075   -0.456    9.506   11.777
      84  -11.981  -48.614   36.689  -19.765    7.039    0.785    4.171    1.224   -5.106   11.038
      85  -26.276  -45.096   42.561  -10.398    8.454    6.806    9.777    1.363   -1.090    7.769
      86  -28.718  -40.393   43.401  -15.201    0.908    7.441   -4.877   -0.464   -2.715    8.394
      87  -18.457  -47.685   39.744  -13.111    9.449    2.452   -1.342   -2.099   -3.927    9.484
      88  -20.769  -49.531   40.477   -5.240   12.294    2.129    7.307   -0.847    3.498   10.070
      89  -20.241  -34.778   37.136   -8.876   10.350   10.539   -4.564   -3.810   -4.122    9.833
      90  -26.017  -43.663   39.114  -12.915    8.174    5.603   -6.386   -1.803   -3.640    8.736
      91  -24.721  -46.100   31.010   -9.419    8.950    4.222   -4.831    0.207   -2.478   12.080
      92  -30.542  -43.085   41.002  -11.986    8.036    1.370   -5.233   -4.044    5.588   12.223
      93  -40.290  -42.897   29.954  -15.459    7.370    3.578   -5.485    4.508    1.660   13.953
      94  -32.092  -35.792   30.013   -9.337   12.302    3.131    6.321    2.643   -4.648    8.331
      95  -25.713  -39.024   35.424   -9.635   12.891    0.817   -6.187    2.788   -0.921   10.690
      96  -36.117  -30.789   33.175   -7.546    9.768    4.569   -4.238    2.077   -0.386    9.776
      97  -41.975  -43.029   29.068  -16.984   10.304   11.711   -6.706    9.916   -0.077    8.598
      98  -49.283  -42.765   28.917   -5.576    9.704    0.567    1.465    5.069    4.360   10.884
      99  -51.636  -35.873   31.251  -10.477   11.099   10.336   -7.880   15.716   -4.411    4.457
     100  -36.760  -32.823   17.911   -5.050   10.586    1.093   -3.732    4.284   -2.687   11.596
     101  -30.442  -36.376   17.974   -4.451   13.129    5.185   -1.003   12.254   -7.360   10.310
     102  -49.676  -24.007   25.504   -8.831   14.012    9.527  -12.170    6.198   -0.147    8.522
     103  -40.293  -35.160   32.186   -5.660    8.055    9.695   -7.550    6.923    1.198   13.356
     104  -48.389  -16.124   15.399  -11.626    7.550   11.186    7.594   11.786   -5.429    4.860
     105  -57.671  -12.923   12.296   -7.073    0.079   11.683    5.998    6.890    5.395    8.699
     106  -52.874   -2.424   11.048  -13.429    1.684   13.818    1.608    4.260    2.251   10.456
     107  -47.335  -15.230   10.723  -12.790    4.370   13.738    2.756    9.061   -1.014    9.523
     108  -46.949  -17.141   18.323   -6.815    0.225   15.658    9.363    9.609    1.569    9.634
     109  -43.570  -27.971   18.745  -11.364   -0.201    9.835    7.033   14.880    1.806    6.594
     110  -51.673   -7.356    4.505  -12.478    2.635    8.471    1.846   11.310    2.816    4.589
     111  -65.355    0.440    4.094  -15.889   -0.599   10.901   -6.124   10.358   -0.603    5.856
     112  -67.645   19.653    1.744  -14.545   -1.192   10.158    0.805    2.933    7.130    8.945
     113  -75.042   13.070   -6.064  -23.499   -1.843    9.430   -6.581    7.203    1.523    6.645
     114  -55.593   -2.442   -8.048  -18.595    3.499    8.090    1.570    6.742   -0.960    8.272
     115  -66.102   12.436   -0.527  -14.034    1.666    9.434   -3.415   10.308    4.410    6.721
     116  -64.403    2.547  -12.514  -17.865   -0.825    8.249   -4.377   10.750    1.019   11.601
     117  -79.664    6.150   -3.154  -20.765   -0.371   10.374   -8.422   10.399    2.978    4.939
     118  -63.297   -8.520   -1.412  -15.175    0.611    8.588   -8.116    6.738    3.804   12.126
     119  -46.477  -14.393   15.710  -10.334    1.408    9.518    1.111   11.548   -6.835    7.123
     120  -39.004  -16.469    5.984  -14.975   -2.674   13.914    7.991   10.009    1.970    8.538
     121  -42.290  -22.710   17.226   -9.356    2.346   16.962    5.472   12.465    8.628    7.473
     122  -41.842  -11.986    3.019  -19.309   -2.773    7.436    7.199   13.268    3.308    5.159
     123  -44.775  -12.740    3.439  -14.293   -1.829    8.327    3.525   12.203    1.065    9.234
     124  -34.773   -4.791    6.230  -13.790    3.812    7.264    7.761    9.346   -0.750    2.051
     125  -47.028  -10.562    1.174  -22.459   -2.791    6.080    2.537   13.705    7.201    5.727
     126  -45.778  -17.769   -2.164  -18.089   -0.545   14.523    2.859   14.188    5.507    6.966
     127  -53.051  -15.708   12.622  -17.947    2.665    6.478    0.703   17.796    2.093    2.673
     128  -66.739    0.088   -2.716  -18.434    1.948    8.898   -9.204    8.335    9.365    8.518
     129  -77.351  -11.225   -4.248  -13.995    0.502   11.911   -2.099   14.135   11.066    5.368
     130  -63.571   -9.751   -3.438  -10.940    3.094    1.477    1.682   15.818    9.460    7.314
     131  -48.509    2.213  -16.839  -21.242    2.490   -0.245    8.047   15.688    2.247    0.945
     132  -51.974   -6.353   -3.708  -13.169    6.162   -0.864   -1.702   18.958    4.750    2.206
     133  -56.724  -13.168  -19.322  -15.719    3.807   -1.999   -1.509   16.074   17.082    5.150
     134  -65.974   -6.960   -9.395  -14.088    0.647    0.356   -1.509   15.397   22.656    5.690
     135  -59.694   -5.591  -19.980  -13.360   -0.814   -3.913   -0.040   21.724   22.095    8.590
     136  -76.644    9.598  -10.435  -19.929   -4.594   10.264   -7.737   22.325   20.897   10.551
     137  -67.278    2.753   -3.011  -12.036    7.151   13.861   -6.984   11.713   12.856    3.954
     138  -59.517  -19.223  -21.970  -17.884    8.168    1.211   -8.335   18.451   15.655   10.339
     139  -53.371  -19.036   -4.396  -10.378    4.689    6.336  -12.949   11.233   11.827    6.945
     140  -56.368  -10.590  -11.165  -11.434    6.160    3.414   -7.393   14.672   12.065    8.424
     141  -60.082  -20.062   -9.163  -13.727    4.157   -2.438   -4.188   19.099    8.063   13.051
     142  -65.594  -11.942   -0.407   -2.855    5.275    3.623   -6.082   14.866   13.505   11.150
     143  -60.842  -14.067    5.814  -12.990    1.126    0.346   -2.951   15.680   11.170    7.809
     144  -63.364  -12.027   15.326   -3.745    2.213    1.545   -3.299   13.907   15.824    9.077
     145  -52.169  -23.836   15.100   -2.459    9.659    6.833   -6.302   14.503   10.389    4.806
     146  -41.549   -9.554   10.156   -3.595    5.866    5.054   -0.506    9.453    7.670    5.630
     147  -43.994  -21.881   14.118   -1.583   10.541    2.714    7.073   11.500   15.648    1.316
     148  -47.344   -7.077   -0.869   -7.341   12.552    5.417   -0.037   17.982    5.365    1.511
     149  -48.682  -17.633    7.874   -3.132    8.871    5.803    4.927   18.544   12.348    0.420
     150  -41.894  -14.813    5.727   -3.835    3.166   -0.317   10.348    9.144   14.129    8.802
     151  -58.898  -12.427    5.494   -3.389    1.351   -1.819    2.975    7.076   18.196    5.569
     152  -48.148  -15.407    5.721   -6.103   -2.086    9.294    3.538   17.465    9.803    5.625
     153  -50.244  -21.071    0.803   -9.368    3.944    6.983   -1.060   15.478   10.055    6.356
     154  -54.766  -15.901   -0.853   -9.021    0.009   -6.808    3.770    4.530   19.644   15.621
     155  -58.511  -17.020   13.270   -7.643    3.388   -0.696    0.710    3.805   24.842   10.205
     156  -49.457  -21.083   11.111   -7.315    1.598    0.110    6.669    6.242   16.927   15.200
     157  -55.559   -0.891   10.694   -6.925    2.968   -8.284   13.182   -1.686   26.608    7.277
     158  -58.960  -14.893    9.753   -9.629   -0.370   -3.293    4.425    8.571   21.015    8.993
     159  -40.682   -3.357   11.487   -0.127    8.576    2.320    4.038    8.888   18.714    2.428
     160  -47.710  -23.219   28.287   -7.229    4.569    7.595    8.917    7.375   17.169    4.695
     161  -55.315   -6.706   11.908  -13.608    2.888    1.824    6.104    9.757   16.259    0.548
