#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
      65   -8.167  -21.785  -14.028  -13.204    3.781   -6.339   12.581  -12.285  -14.015    4.010
      66    7.753   -1.386  -11.588  -18.630    5.067   -7.544    8.114   -8.493  -20.751    4.151
      67   -0.446   -6.321   -6.812  -11.239    1.941   -9.519   -2.912  -16.552  -19.076    1.088
      68   23.321   16.635  -17.322   -1.429   -2.466   -5.036    3.193  -14.511  -24.627    6.800
      69   15.348    0.120  -13.157  -10.098    7.919   -3.263    1.814  -12.993  -17.797   10.669
      70   33.178   -5.412   -5.801  -10.112   -0.681  -13.631   18.782   -2.087  -20.779    7.076
      71   18.054  -11.461  -10.673  -13.710    3.460  -10.002    6.817   -8.155  -18.180   10.015
      72    9.110  -19.205   -1.019  -13.180    2.510  -11.505    3.123   -7.476  -18.894    8.192
      73   -3.644  -39.300   -4.190  -22.387    5.034   -9.085    9.386   -4.038  -16.504   10.672
      74   15.103  -31.023   -0.745  -27.832    2.157  -12.716    0.846  -15.054  -16.751    5.569
      75   -7.910  -14.039  -10.350   -7.577   -0.157   -4.813    2.577   -5.580  -14.637    9.630
      76    4.372   -6.245  -14.163  -11.351   -1.349  -10.746   -0.659   -9.778  -12.886   11.465
      77   19.747   -8.212   -1.762   -4.422    3.855   -3.559    0.257    0.257  -22.246   17.013
      78   38.291  -11.575   -0.545  -23.223    6.293  -10.010    2.657  -10.331  -18.777    8.414
      79   16.547   -7.812  -15.776  -25.238   14.478  -10.274    0.797   -8.971  -17.499   17.358
      80   17.040  -13.614   -6.103  -19.293    9.129  -11.651    6.423  -10.488  -23.136    1.034
      81   17.053   -7.707  -12.209  -11.658    8.848  -17.805    6.256   -8.902  -12.924    4.630
      82   24.661  -22.812   -0.369  -14.139    4.744   -4.321   12.527   -7.892  -16.069    9.914
      83   22.310  -21.356    1.683  -14.161   -1.016   -2.858    0.162   -5.933  -12.709   12.638
      84    5.892  -22.127   -8.249  -17.777    8.675    5.189   -1.470   -8.952  -10.826   14.504
      85   12.864  -21.317   -9.925  -23.666    9.359    1.937    0.404   -7.496  -12.228    8.638
      86   23.287  -31.101    6.401  -10.803   -3.191   -2.792   -1.736   -1.525  -16.047   10.457
      87   19.089  -33.571    0.527  -14.120    2.788   -1.361   -0.223   -6.783  -10.178    2.297
      88   30.892  -37.511    8.633  -12.988   -7.507   -9.059    6.572   -9.357  -15.485   -2.101
      89   17.155  -35.828    6.918  -16.725    3.639   -4.227   -1.462   -6.491  -15.691    1.510
      90   28.459  -44.578   18.609  -14.290   -5.272   -2.582   -0.354    1.940  -16.712   -0.606
      91   32.044  -39.396   17.127   -7.653    0.660   -1.785   -4.976    0.647  -16.920    2.877
      92   14.576  -31.368    4.622  -18.799    6.832   -2.755    4.836    3.153  -14.226    8.138
      93   20.510  -35.676    5.327  -13.501    5.081   -3.787    6.161   -1.178  -18.679    4.646
      94   14.754  -37.902    6.531  -15.794    4.076    0.814    7.072    8.689  -13.506    6.966
      95   -1.018  -52.941    6.370  -22.442    3.867  -11.820    1.144    2.518  -11.805    6.534
      96    2.597  -38.445    2.456  -11.893    3.461   -7.418    3.498   -1.268  -15.337    0.483
      97   12.207  -26.659   -2.843   -7.236    2.832   -2.989   -4.038   -5.380   -8.461   13.028
      98   -0.014  -39.976   -3.143  -20.038    5.988   -4.138    3.676   -6.397   -7.504    9.393
      99    6.806  -31.443   -2.663  -17.175    2.094    0.151    0.870  -12.697  -12.543   15.227
     100   23.001  -15.144   -1.695  -15.359    2.028    5.940   -3.180   -4.412  -13.308   14.892
     101    6.923  -29.094   -4.188  -10.654   -8.084    4.114    8.085   -5.030  -15.678    3.954
     102   12.348  -36.789    0.796  -16.348  -11.464   -8.257   10.010   -4.436  -12.511    8.219
     103   21.302  -41.987   12.298  -13.326  -16.151    4.068    5.584    5.868  -16.286    9.596
     104   20.114  -35.209    5.633  -10.594   -8.874   -1.826    2.355   -6.514  -13.761    6.269
