#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
      67   99.440  -37.539   14.138   43.212   28.354   -0.664    2.492   -1.068  -18.871  -10.066
      68  102.511  -63.192   12.511   41.810   20.983    6.334    3.987   -5.936   -9.984  -16.069
      69  103.415  -70.592   10.454   47.526   19.189   12.170    5.202    2.699    1.519  -11.680
      70   88.381  -68.521    9.599   51.465   21.133    2.181    0.223   -3.307   -5.497  -10.103
      71   87.341  -71.887    4.709   48.959   14.683    8.282    4.914    1.305   -7.845   -1.465
      72   75.867  -73.488   -8.293   47.261   10.814    2.320    3.716   -2.146  -13.616   -4.317
      73   71.641  -58.028   -4.686   55.469   20.812   -0.725    5.858    5.368  -19.989   -5.973
      74   55.111  -38.206   -2.843   47.102   26.511    5.218    2.588    8.157  -26.005   -9.682
      75   66.667  -68.877   -0.379   53.446   21.028   -2.902    0.706    0.475  -18.536  -15.720
      76   42.800  -67.971  -16.579   47.965   17.539   -6.334    0.289   -1.051  -21.256   -9.644
      77   59.586  -82.146  -14.546   45.870   15.143    0.405    4.272    0.960  -12.470   -1.958
      78   62.851  -89.582   -4.023   56.064   14.456   -2.324    1.778   -5.166  -12.991  -13.508
      79   80.845 -102.589   -3.839   49.935   14.570    4.600   10.142    4.672   -1.157   -6.933
      80   82.230  -95.753    3.080   64.291   11.780   11.537    2.762    8.053   -5.720   -8.164
      81   90.312  -87.146   -0.205   53.335   11.818    8.423   13.280    0.850  -10.685   -6.769
      82   77.318  -88.553   -1.645   42.837    9.646    4.322    8.121   -6.476   -9.034   -6.799
      83   80.988  -98.448   -4.467   46.054    4.883    6.393    6.083  -10.616   -9.761   -8.321
      84   70.703  -91.407  -11.949   46.580    3.713    5.878    4.347  -15.978  -12.560   -8.423
      85   84.149  -90.594   -5.944   55.286    5.943    4.255    7.207   -5.078  -14.081  -10.074
      86   72.821  -83.966   -5.726   43.254    7.745    2.766    5.864   -8.445   -9.668   -6.232
